CVEGEO,unidades
090070001127A,4
0900700011301,4
090140001037A,4
0900700010036,4
0900600010965,4
0900600010715,4
0900600010382,4
0900400010119,4
0900600010414,4
0901600010340,4
0900600010452,4
0900600010522,4
0900300010200,4
0901700010649,4
0900600010842,4
0900600010876,4
0901700010456,4
0901400010505,4
0901700010545,3
0901000011078,3
0901700010526,3
0901700010598,3
0901700010174,3
0901000010830,3
0901700010070,3
0901700010530,3
0901200012189,3
0901700010653,3
0900800010565,3
0901700011331,3
0900800010283,3
0901700011280,3
0900800010298,3
0900800010387,3
0900800010404,3
0901700011276,3
0901700011219,3
0901700011083,3
0901700011079,3
090100001053A,3
0900900110416,3
090170001105A,3
090090015012A,3
0900900170365,3
0901700011045,3
0901700011011,3
0901000010116,3
0901700010808,3
0901700010691,3
0901600011211,3
0901000012254,3
0901600011103,3
0901400010539,3
0901500010216,3
0901400010948,3
090120001045A,3
0901400010844,3
0901400010789,3
0901200010591,3
0901200010638,3
0901400010647,3
0901200010731,3
0901200010892,3
0901600011014,3
0901400010416,3
0901300011347,3
0901300011332,3
0901300011239,3
0901200011316,3
0901300010207,3
0901300010122,3
0901300010086,3
0901200012441,3
0900800010230,3
090150001113A,3
090120001013A,3
0901100261164,3
0901600010923,3
0901600010815,3
0901600010548,3
0901600010425,3
0901600010410,3
0901000011345,3
0901600010251,3
0901600010139,3
0901600010124,3
090160001011A,3
0901600010088,3
090160001004A,3
0901000012199,3
0901200012225,3
0901500011515,3
0901500011464,3
0901100010058,3
0901100010950,3
0901100211018,3
0900200010010,3
0901000010525,3
0900600011111,3
0900500012165,3
0900600010043,3
0900500013375,3
0900500012875,3
0900500012682,3
0900500012396,3
0900500012358,3
0900500012324,3
090050001224A,3
090050001217A,3
0900500012131,3
0900700014058,3
0900500012095,3
0900500012080,3
0900500011909,3
0900500011896,3
0900500011877,3
0900500011858,3
0900500011769,3
0900500011754,3
0900500011449,3
0900600010096,3
0900600010202,3
0900600010274,3
0900600010363,3
0900700013740,3
090070001351A,3
0900700012988,3
0900700012653,3
0900700012051,3
0900700012047,3
0900700011867,3
0900700011759,3
0900700011710,3
090070001141A,3
0900700011180,3
0900700010680,3
0900700010572,3
0900700010500,3
0900700010375,3
0900700010178,3
0900700010017,3
0900600010518,3
0900600010503,3
0900500011379,3
090050001135A,3
0900500011345,3
0900300010588,3
0900300010501,3
0900300010319,3
0900300010291,3
0900300010287,3
090030001022A,3
0900300010075,3
0900200011095,3
0900200010970,3
0900200010792,3
0900200010769,3
0900200010608,3
0900200010580,3
0900200010519,3
0900200010487,3
0900200010434,3
0900200010379,3
0900200010326,3
0900200010203,3
0900200010129,3
0900300010535,3
0900300010681,3
0900500011186,3
0900300010696,3
0900500010934,3
090050001092A,3
0900500010830,3
0900500010826,3
0900500010722,3
090050001060A,3
0900500010455,3
0900500010436,3
0900500010366,3
0900500010192,3
0900300011656,3
0900300011497,3
0900300011444,3
0900300011285,3
0900300011092,3
0900300011001,3
090030001093A,3
0900300010802,3
0900300010728,3
090070001383A,3
0901700011524,3
0900700014927,3
0900700014965,3
0900700015215,3
0900800010160,3
090140001090A,2
0900700015681,2
0900300011321,2
090130001107A,2
0900300011270,2
0900300011247,2
0901300010828,2
0901600010707,2
0900300011124,2
0900300011016,2
0901300010527,2
0901300010391,2
0900900110435,2
0900700011087,2
0901300010300,2
0900300010889,2
0901600010834,2
0900300011406,2
0900300011425,2
090130001025A,2
0901300011188,2
0900400010138,2
0900400010123,2
0900700010479,2
0900700015060,2
0901600010336,2
0901400010153,2
0900700010591,2
0900400010053,2
0900700010695,2
090040001002A,2
0900700010746,2
0900300011694,2
0900700010820,2
0900300011660,2
0901600010463,2
0900300011586,2
0900300011514,2
0901300010279,2
0900300010855,2
0901300010245,2
0900400010373,2
0900700011566,2
0901200011937,2
0900300010484,2
0900300010465,2
090120001159A,2
0901600011283,2
0901200011481,2
0901200011462,2
0901600011315,2
090160001132A,2
0901700010013,2
0901200011176,2
0901200011123,2
090070001497A,2
0900300010380,2
0901200011015,2
0901200011000,2
0900700011496,2
0901200012102,2
0901600011141,2
0901200261528,2
0901600010868,2
0900300010840,2
0900700011195,2
0900700011265,2
090070001134A,2
0900900010327,2
0901200261674,2
0901600011052,2
0901600011137,2
0900700011369,2
0901600011090,2
0901200012259,2
0901600011118,2
0901200012174,2
090120001216A,2
0901200012155,2
0900700010356,2
0901400010295,2
0900300010361,2
0901500010019,2
0901500010447,2
0900500011294,2
0901500010362,2
0900500012856,2
0900500011203,2
0901500010288,2
0900500012860,2
090150001024A,2
0901000010173,2
0901500010184,2
090150001017A,2
0901500010150,2
0900500011129,2
0901500010112,2
0901500011229,2
090050001110A,2
0900500013093,2
090050001142A,2
0900500011453,2
0901000010686,2
0900500011824,2
0900500012038,2
0900500012076,2
090070001547A,2
0900700015484,2
0900500012150,2
0900500011862,2
0901000010351,2
0900500011792,2
0900500012470,2
0900500012220,2
0901000010328,2
090100001060A,2
0901000010614,2
0900500012343,2
0900500011720,2
0900700015272,2
0901500011267,2
0900500011006,2
090040001041A,2
0901500011286,2
0900500010417,2
0900600010749,2
0901500011500,2
0900600010787,2
0900500010385,2
0900600010946,2
0900500010309,2
0901400010488,2
0901400010454,2
0900600011075,2
0900500010224,2
0900500010169,2
0900600011198,2
0901000010972,2
0900500010101,2
0901400010327,2
0900500010084,2
0900500010440,2
0901000010027,2
0901400010666,2
0900600010170,2
0901400010971,2
0900500013290,2
090050001338A,2
0900500010972,2
0900600010077,2
0901400010878,2
0900600010081,2
090060001019A,2
0901400010685,2
0900600010359,2
0901000010898,2
0900600010471,2
0901000010065,2
0900600010556,2
0900600010575,2
0900600010611,2
0901200010996,2
0900500012004,2
0900300010323,2
0901200010337,2
0901700011100,2
0901700010668,2
0900200010330,2
0901100011499,2
0900200010773,2
0900700013651,2
0901000012201,2
0901100260965,2
0901700011134,2
0901700011153,2
0900800010300,2
0901000012095,2
0900200010966,2
0901000012061,2
0901200010074,2
0901200010125,2
0901000011947,2
0901200010144,2
0901000011928,2
0901200010159,2
0900700014749,2
090120001020A,2
0900200010275,2
0900200011150,2
0900700013793,2
0900700012899,2
0901200010233,2
090100001181A,2
0900200010218,2
0901100011427,2
0900200010345,2
0900200010627,2
0901100010607,2
0901100010344,2
0901700010969,2
0901700011007,2
0901100010185,2
0901100010170,2
0901700010865,2
0901700010846,2
0900800010349,2
0901000011148,2
0900700013401,2
0900800010334,2
090080001032A,2
0901700010812,2
0901100010626,2
0900200010364,2
0901100010096,2
0901100010630,2
0901100010645,2
090170001016A,2
0901700010776,2
0900700013539,2
0901100010946,2
0900700013558,2
0901100010043,2
0901100011075,2
0901100011268,2
0900700013577,2
0901100011291,2
090030001008A,2
0900700014912,2
0901700010348,2
0900700012437,2
0901700010244,2
0901700010390,2
0901200010515,2
0900700014734,2
0901000011330,2
0901200010534,2
0901700011312,2
0901200010549,2
0900300010234,2
090070001198A,2
0900700014946,2
0900200010133,2
0901700010367,2
0901700011327,2
0900700012831,2
0901200010680,2
0900800010207,2
0900700013863,2
0900200010114,2
0901200010676,2
0901700010333,2
0900700012102,2
090120001084A,2
0901700010329,2
0901700011261,2
0901700010189,2
0900300010111,2
0901700010460,2
0900700014429,2
0900700012738,2
0900700011852,2
0900700012757,2
0900200010190,2
090070001433A,2
0900300010198,2
0900700012776,2
0901000011186,2
0900500010864,1
090170001144A,1
0901000010012,1
0901700011384,1
090170001137A,1
0900500010915,1
0901700010988,1
0900500010845,1
0900700015592,1
0900500010510,1
0900500011970,1
0900200010097,1
0901000010455,1
0901000010099,1
0900500010563,1
0900500011843,1
0900200010398,1
0901000010084,1
0901700011365,1
0901000010440,1
0900500011881,1
090020001010A,1
0901500011407,1
0901700011242,1
0900200010383,1
0900800010156,1
0900500011631,1
0900500011627,1
0901700011191,1
0900500011557,1
0900500011487,1
0901700010954,1
0900500011190,1
0900700015499,1
090070001554A,1
0901000010239,1
0900500011222,1
090050001128A,1
0900200010256,1
0900500011330,1
0901000010188,1
0900500011152,1
0901700011187,1
0900500011646,1
0900500010991,1
0900700015569,1
0901700011346,1
0900700015554,1
0901000010313,1
0900500010987,1
090050001174A,1
0901500011290,1
0901700011172,1
090170001112A,1
0900500011701,1
0900500011025,1
0901700011149,1
090050001103A,1
090050001167A,1
0901500011483,1
0900800010353,1
0901700010916,1
0901700010901,1
0901700010422,1
0901700010437,1
0901700010441,1
0900700015766,1
0900500011985,1
0901600010976,1
0900700015732,1
090030001079A,1
0901600010919,1
0900700015728,1
0900300010836,1
0900300010094,1
0901700010494,1
0901700010511,1
0900300010906,1
0900800010527,1
0901600010800,1
0900300010959,1
0900300010997,1
0900700015713,1
0900300011020,1
0900200011146,1
0900800010512,1
0900800010550,1
0901700010386,1
0900300010658,1
0900300010446,1
0900800010584,1
0901700010085,1
0900300010395,1
0901700010193,1
0900300010408,1
0901700010032,1
0901700010028,1
090170001023A,1
0900300010412,1
0901700010263,1
090080001057A,1
0901600011122,1
0901600011264,1
0900700015925,1
0900300010499,1
0900900010026,1
0900900010308,1
0900900010312,1
0900300010605,1
0900300010624,1
0900300010639,1
0900300010272,1
0900300011232,1
0900200011076,1
090090017037A,1
0900500010262,1
0901700010738,1
0900400010301,1
0900400010405,1
0901600010228,1
0900200010576,1
090050001014A,1
0900500010154,1
0900200010557,1
0900700015605,1
0900500010205,1
0901700010831,1
0901700010723,1
0901600010105,1
0900500010277,1
0900500010281,1
0900500010296,1
0901600010035,1
090170001087A,1
0901600010020,1
0900900330350,1
0900500010370,1
0901700010899,1
0900400010231,1
0901600010317,1
0900300011374,1
0900300011637,1
0900300011389,1
0900800010508,1
0900200010947,1
0900900170384,1
0900300011459,1
0900300011478,1
0900700015677,1
0901600010533,1
090030001150A,1
090020001081A,1
0900800010048,1
0900800010141,1
0900700015624,1
0900800010137,1
0900300011779,1
0900200010754,1
0901600010389,1
0901600010374,1
0900200010631,1
0900400010072,1
0900200010612,1
0901600010321,1
0900300010713,1
0900700014467,1
090050001199A,1
0901200010835,1
0900700012117,1
0901200010623,1
0900700012085,1
0900700014931,1
0901200010765,1
0901200010801,1
0900700011975,1
0900700012386,1
0901200010888,1
0900700011918,1
0900700011848,1
0900700011833,1
0900700011778,1
0900700011763,1
0900700012121,1
0901200010553,1
0900700013045,1
0900700012634,1
0900700012901,1
0901200010248,1
0901200010303,1
0901200010318,1
0900700012884,1
0900700012850,1
0900700012615,1
090120001052A,1
0900700012579,1
0900700012564,1
0900700012545,1
0901200010479,1
0900700012460,1
0900700012441,1
0901000011063,1
0901200011072,1
0900700011706,1
0901200012263,1
0900700011439,1
0901200012136,1
0901200012140,1
0900700014984,1
0900700011388,1
090120001223A,1
0901200192460,1
0900700011674,1
0901200262297,1
0901200271797,1
0901200272032,1
0901300010033,1
0901300010052,1
0900700011284,1
0900700011443,1
0901200012047,1
0901200012013,1
0901200011994,1
090070001159A,1
0901200011903,1
0900700011636,1
0901200011640,1
0901200011617,1
0901200011566,1
0901200011439,1
0901200011424,1
0900700011655,1
090070001166A,1
0901200011195,1
0901200011161,1
0901200011157,1
0901200010197,1
0900700013079,1
0900500012057,1
0901000012150,1
090070001376A,1
0901000011966,1
0900700013721,1
0901000012108,1
0901000012131,1
0901000012146,1
0900700013702,1
0900700013806,1
090100001224A,1
0900700013613,1
0901000012292,1
090100001231A,1
0901000012324,1
090110001001A,1
0901000011792,1
0901000011773,1
0901200010021,1
090070001401A,1
0900700014433,1
0900700014185,1
0901000011294,1
0900700014043,1
090100001135A,1
0900700014039,1
0901000011487,1
0901000011769,1
0901000011557,1
0901000011561,1
0901000011580,1
0900700013859,1
0900700013810,1
0901000011735,1
0900700013562,1
0901100010113,1
0901100010128,1
0901100011431,1
0900700013295,1
0901100011249,1
0901100011253,1
0901100011361,1
0901100011376,1
