CVE,x,y,poblacion
0900500010879,-99.15374914260617,19.50072865788197,1856
0901600010463,-99.1925234134442,19.443840709305174,4077
0901700010259,-99.11192242839859,19.443133105259182,1596
0900800010546,-99.2535748211446,19.31499129370141,5931
0900400010053,-99.28989844233625,19.372409097322517,6459
0900800010512,-99.25620448098813,19.32187960607913,8047
0900800010226,-99.24966269847313,19.311321888625734,3917
0900200011019,-99.19936317214322,19.48145833397081,1689
0900300011514,-99.1027114122876,19.3101773113105,5908
0900700015747,-99.00717716141469,19.375491717924508,1979
0900600011094,-99.09614133389285,19.39977626758343,4236
0901700011454,-99.10019522537512,19.410260089407807,1543
0900500012061,-99.11077741707055,19.463636632170267,3153
0900800010283,-99.22379675982712,19.313714094605533,4642
090150001017A,-99.15987804472931,19.457141026359373,5239
0900300010431,-99.168436252644,19.337092166354456,5344
0901500010235,-99.14579062932746,19.455423047573902,1280
0901500010540,-99.13293701644662,19.444843296289637,6835
0901000012095,-99.24513558968391,19.363008957939208,5597
0901100010452,-98.99820285675747,19.268903051237018,9689
0900300011660,-99.16107897840396,19.303054271877347,3328
0900700011091,-99.03182102268113,19.359544324258714,4232
0900700010318,-99.02430889479993,19.38217858076794,3528
0900700015643,-99.04907024807976,19.378166731528687,836
090120001223A,-99.18602055472955,19.272897723068816,7153
0901600010552,-99.1971974382299,19.43950346756396,1276
0901700011384,-99.09931784241778,19.41229736036874,1299
0900903000632,-98.97332725415244,19.210715961190804,2109
0901700010687,-99.12449724607305,19.425440052298445,368
0900400200246,-99.32650264297793,19.330487065331834,9541
0901700010174,-99.11509650504195,19.4482338818885,2235
0901700010070,-99.100643829002,19.44779511722865,3664
0900600010043,-99.06299583657197,19.416553767122444,5255
0901500010095,-99.13721467231787,19.459289091950545,3670
0900700013026,-99.05801722969204,19.329449406878123,2493
0900500010192,-99.14321507691086,19.54064153607969,5552
0901000010258,-99.20946521488348,19.387593443900744,734
0900500013286,-99.14618843602467,19.5582320319639,3236
0900500010811,-99.09843180780484,19.50115729251619,4407
0901700010403,-99.11253061585955,19.436515995992146,2343
0901600010105,-99.20799617292066,19.458300065191327,5129
0901500011290,-99.13005932353042,19.411680315486816,4939
0900800010207,-99.24539067947514,19.316501552260156,5197
0900300010484,-99.13904657339673,19.334248331044037,1003
090070001579A,-99.05586596430412,19.374824437470764,364
0900500013303,-99.1467097470858,19.519260794950327,1861
0900400010180,-99.2590902492142,19.387854836790428,6474
0901200010943,-99.17108696013545,19.28526761025661,2352
0900300011764,-99.10659181683664,19.325767061125692,2890
090170001144A,-99.10966897324695,19.4074682024125,5519
0900500011576,-99.12940023142993,19.474543957883032,4358
0900300010075,-99.1403793060596,19.351400057381362,2825
0900300011567,-99.17074361048728,19.310797176577033,1682
0900700010638,-99.01128581392099,19.37447625151477,4162
0900600010096,-99.06024280103892,19.407936637669735,8297
0900700010591,-99.03024222794728,19.36862549230077,3807
0901100010804,-98.99835354658168,19.29702931921874,183
0901000011716,-99.26028762490587,19.321990327385205,7042
0901600010637,-99.20549179200405,19.434657772000214,3488
0901000011699,-99.23984704703247,19.33145319763112,9388
0900500012682,-99.08875314786553,19.506332825458653,5028
0901400010577,-99.17881301261146,19.381364822935396,6059
0901600010393,-99.18691305535954,19.446497493006742,10717
0901600010088,-99.16890994318807,19.452068186969132,89
0900600010838,-99.10586485381353,19.385478632152275,2924
0901300010372,-99.12752328427206,19.24821735033803,5104
0901100211022,-98.98984985763657,19.23134797866298,2720
0901400010863,-99.14589347423149,19.366746412615278,7925
0901200010623,-99.22802993292454,19.286522634520388,3257
0900500010987,-99.11265855860812,19.49703106308808,2773
0900700013539,-99.07614873560506,19.29487868966566,4545
0901200010267,-99.11585404254143,19.299233974875545,1902
0901200012047,-99.23357675369614,19.27176575657324,5793
0901200010553,-99.1372732510915,19.289152338430448,4048
0901300011309,-99.11196510732042,19.235716954732702,1210
0900700010962,-99.10380605754769,19.359175080961172,8084
0900500011472,-99.10121297571304,19.484381828236724,2827
0900700015554,-99.0230327136049,19.338980541291367,2894
0900300011393,-99.11135050824234,19.318775023508557,2828
090160001011A,-99.20301665049365,19.456052011712252,5077
0900700014734,-99.05008141956327,19.35312477448648,11587
0901200010869,-99.21140401419045,19.280104684580518,4651
0900700015361,-99.08247037737162,19.313547893255333,2123
0901300010137,-99.10108052523861,19.26449423959282,3296
0901500010292,-99.13606037185411,19.45339362879401,1418
0900700013632,-99.114829552764,19.37769259838331,6682
0901100010274,-99.00249537907388,19.287830138449092,3768
0900500011877,-99.10085753932452,19.46789767183049,2646
090090017037A,-99.00167358355134,19.198197835803764,3368
0901200010962,-99.16115775926312,19.286549241052626,1858
090170001030A,-99.09794796828014,19.442911088750474,3513
0900900170558,-98.99647427419406,19.192820046249967,165
0901700010649,-99.10143004616232,19.42815370574054,5209
0901300010480,-99.11660926765298,19.240156258453126,6753
0900200010932,-99.18368706266018,19.50616412383724,408
0901500010201,-99.1492012623551,19.4549815121242,1612
0901600010054,-99.18517180968873,19.4598009422503,4315
0900500010188,-99.14750991644313,19.539684843755715,4422
0901700011238,-99.08544961657152,19.417007083278573,3484
0900700015732,-99.04503385760242,19.32229540406993,2692
0901000012112,-99.20758290348628,19.38172873729127,9888
090050001142A,-99.12319115453164,19.48163918763512,2240
0900200010487,-99.18228572525368,19.48031972511218,4207
0900300011020,-99.14188755476017,19.3133890270662,4471
0901100010772,-99.00198272234088,19.255904826183478,2516
0901200010799,-99.23438905949342,19.28106884664279,3477
090050001103A,-99.07969400474674,19.497017950657586,4250
0900200011057,-99.16779715773009,19.465541591285813,2418
0900500013055,-99.09070431867754,19.47399692001237,2876
0901000010135,-99.19313538109473,19.388849997973477,21198
0901200012206,-99.24219031688607,19.267584222643023,4752
0901600011334,-99.19200841177154,19.452354269346348,3168
0900700010286,-99.03392851418732,19.383146263790486,2480
0901700011312,-99.12615626612931,19.41152918938995,10188
0900200010650,-99.20054388090128,19.47527010015542,6499
0900700013859,-99.04870748614863,19.336796373036833,2090
0901400010793,-99.18306004517785,19.372154897218557,4670
0901600011175,-99.18565609966487,19.404623821343005,1823
0901000010830,-99.19288232815309,19.367071185076107,774
0900700012634,-98.99554800546815,19.35216881440829,4200
0900500012199,-99.11530094460954,19.459197382701316,3485
0901200010888,-99.1996374810128,19.284052996796447,4587
0900600011037,-99.09385207300855,19.385545419693205,2212
0901000011557,-99.22861483577262,19.37492859452204,6638
0901100010823,-99.01829345963876,19.305042235096636,444
0901200011142,-99.17423064251089,19.270216600632242,3328
0900200010167,-99.20068189045277,19.499458412143188,3049
0900500010417,-99.13480070177897,19.51942595564915,5194
0900700014274,-98.97776033768999,19.32660506509727,6175
0900500012409,-99.06408926913946,19.45363462853075,3728
090040001034A,-99.28856967350221,19.368573261241547,3494
0901600010514,-99.2227401846999,19.43840768995307,303
0901300010599,-99.12546630266576,19.235019707953978,5132
