CVE,x,y,poblacion
00320012,32,12,1
00150020,15,20,1
00180026,18,26,1
00070032,7,32,1
00020016,2,16,1
00150038,15,38,1
00320016,32,16,1
00430018,43,18,1
00010019,1,19,1
00080012,8,12,1
00110044,11,44,1
00190018,19,18,1
00440001,44,1,1
00450043,45,43,1
00260015,26,15,1
00480025,48,25,1
00290007,29,7,1
00420009,42,9,1
00250013,25,13,1
00480046,48,46,1
00400021,40,21,1
00370043,37,43,1
00100006,10,6,1
00110043,11,43,1
00070041,7,41,1
00290043,29,43,1
00230035,23,35,1
00420004,42,4,1
00230025,23,25,1
00430019,43,19,1
00230039,23,39,1
00490021,49,21,1
00340012,34,12,1
00150039,15,39,1
00150045,15,45,1
00430016,43,16,1
00440011,44,11,1
00470046,47,46,1
00190047,19,47,1
00310005,31,5,1
00140020,14,20,1
00470025,47,25,1
00010046,1,46,1
00360017,36,17,1
00190008,19,8,1
00100043,10,43,1
00160020,16,20,1
00260006,26,6,1
00260040,26,40,1
00420008,42,8,1
00470007,47,7,1
00100008,10,8,1
00410015,41,15,1
00050036,5,36,1
00070024,7,24,1
00150003,15,3,0
00160001,16,1,1
00310025,31,25,1
00360005,36,5,1
00440021,44,21,1
00470043,47,43,1
00040041,4,41,1
00200027,20,27,1
00090018,9,18,1
00370035,37,35,1
00000034,0,34,1
00300002,30,2,1
00110015,11,15,1
00220037,22,37,1
00290049,29,49,1
00460046,46,46,1
00390022,39,22,1
00410004,41,4,1
00000000,0,0,1
00010017,1,17,1
00130047,13,47,1
00100033,10,33,1
00150044,15,44,1
00350038,35,38,1
00070002,7,2,1
00440048,44,48,1
00480032,48,32,1
00080000,8,0,1
00380049,38,49,1
00440040,44,40,1
00060031,6,31,1
00480030,48,30,1
00340039,34,39,1
00080013,8,13,1
00090002,9,2,1
00240000,24,0,1
00270039,27,39,1
00330035,33,35,1
00350028,35,28,1
00390002,39,2,1
00410005,41,5,1
00010043,1,43,1
00210046,21,46,1
00030001,3,1,1
00260011,26,11,1
00050042,5,42,1
00300025,30,25,1
00220006,22,6,1
00130029,13,29,1
00000018,0,18,1
00280029,28,29,1
00040034,4,34,1
00110022,11,22,1
00140028,14,28,1
00240038,24,38,1
00130001,13,1,1
00280038,28,38,1
00290048,29,48,1
00160006,16,6,1
00260025,26,25,1
00000022,0,22,1
00360044,36,44,1
00370001,37,1,1
00460001,46,1,1
00110014,11,14,1
00480021,48,21,1
00360011,36,11,1
00410018,41,18,1
00270035,27,35,1
00280048,28,48,1
00240030,24,30,1
00290019,29,19,1
00090008,9,8,1
00400034,40,34,1
00100035,10,35,1
00430047,43,47,1
00470000,47,0,1
00090011,9,11,1
00000049,0,49,1
00230040,23,40,1
00380014,38,14,1
00370023,37,23,1
00030032,3,32,1
00270001,27,1,1
00000027,0,27,1
00200020,20,20,1
00390042,39,42,1
00040036,4,36,1
00020038,2,38,1
00190035,19,35,1
00140041,14,41,1
00220044,22,44,1
00060033,6,33,1
00110006,11,6,1
00410037,41,37,1
00330005,33,5,1
00050049,5,49,1
00220038,22,38,1
00370029,37,29,1
00460013,46,13,1
00090046,9,46,1
00200025,20,25,1
00430013,43,13,0
00490006,49,6,1
00320036,32,36,1
00070044,7,44,1
00320011,32,11,1
00040004,4,4,1
00450015,45,15,1
00180037,18,37,1
00030013,3,13,1
00240005,24,5,1
00430001,43,1,1
00190013,19,13,0
00280008,28,8,1
00080031,8,31,1
00040045,4,45,1
00470015,47,15,1
00320019,32,19,1
00360045,36,45,1
00460011,46,11,1
00170024,17,24,1
00100010,10,10,1
00080032,8,32,1
00340004,34,4,1
00020024,2,24,1
00350040,35,40,1
00120037,12,37,1
00070029,7,29,1
00330021,33,21,0
00400042,40,42,1
00480024,48,24,1
00120031,12,31,1
00120029,12,29,1
00430030,43,30,1
00340024,34,24,1
00230011,23,11,1
00300026,30,26,1
00200012,20,12,1
00060043,6,43,1
00000048,0,48,1
00220027,22,27,1
00000006,0,6,1
00290005,29,5,1
00490013,49,13,1
00180010,18,10,1
00070020,7,20,1
00380037,38,37,1
00190000,19,0,1
00350026,35,26,1
00390027,39,27,1
00200048,20,48,1
00170018,17,18,1
00130045,13,45,1
00180031,18,31,1
00300045,30,45,1
00330016,33,16,1
00210041,21,41,1
00460020,46,20,1
00460007,46,7,1
00310049,31,49,0
00340047,34,47,1
00430008,43,8,1
00430009,43,9,1
00340034,34,34,1
00050022,5,22,1
00480047,48,47,1
00280011,28,11,1
00230018,23,18,1
00160045,16,45,1
00030004,3,4,1
00160009,16,9,0
00350008,35,8,1
00190030,19,30,1
00200024,20,24,1
00230012,23,12,1
00250005,25,5,1
00300000,30,0,1
00330043,33,43,1
00420003,42,3,1
00110024,11,24,1
00170027,17,27,1
00020007,2,7,1
00030002,3,2,1
00160018,16,18,1
00320013,32,13,1
00410010,41,10,1
00300001,30,1,1
00220016,22,16,1
00450046,45,46,1
00020003,2,3,1
00170045,17,45,1
00480034,48,34,1
00490030,49,30,1
00020041,2,41,1
00470030,47,30,1
00260049,26,49,1
00310019,31,19,1
00330041,33,41,1
00390016,39,16,1
00260013,26,13,1
00350010,35,10,1
00040010,4,10,1
00090007,9,7,1
00370037,37,37,1
00040033,4,33,1
00220030,22,30,1
00350001,35,1,1
00250037,25,37,1
00000024,0,24,1
00010016,1,16,1
00060013,6,13,1
00060015,6,15,1
00160031,16,31,1
00010032,1,32,1
00240024,24,24,1
00240039,24,39,1
00160008,16,8,1
00400029,40,29,1
